,itemid,num_patients,label,ratio
1184,813,10777,Hematocrit,1.0
1200,829,10776,Potassium (3.5-5.3),0.9999072097986452
1227,861,10774,"WBC (4-11,000)",0.9997216293959358
1207,837,10774,Sodium (135-148),0.9997216293959358
1153,781,10774,BUN (6-20),0.9997216293959358
1182,811,10774,Glucose (70-105),0.9997216293959358
1199,828,10773,Platelets,0.999628839194581
1160,788,10773,Chloride (100-112),0.999628839194581
1162,791,10773,Creatinine (0-1.3),0.999628839194581
1185,814,10772,Hemoglobin,0.9995360489932263
1203,833,10771,RBC,0.9994432587918716
1159,787,10768,Carbon Dioxide,0.9991648881878074
1192,821,10750,Magnesium (1.6-2.6),0.9974946645634221
1701,646,10621,SpO2,0.985524728588661
1138,742,10619,calprevflg,0.9853391481859516
3402,212,10619,Heart Rhythm,0.9853391481859516
4,618,10619,Respiratory Rate,0.9853391481859516
3401,211,10619,Heart Rate,0.9853391481859516
2419,161,10618,Ectopy Type,0.9852463579845968
2633,478,10617,Oral Cavity,0.985153567783242
2296,27,10617,Abdominal Assessment,0.985153567783242
2455,198,10617,GCS Total,0.985153567783242
2742,593,10617,RLL Lung Sounds,0.985153567783242
2748,599,10617,RUL Lung Sounds,0.985153567783242
2441,184,10617,Eye Opening,0.985153567783242
2611,454,10617,Motor Response,0.985153567783242
1773,723,10617,Verbal Response,0.985153567783242
2592,432,10617,Level of Conscious,0.985153567783242
2588,428,10617,LUL Lung Sounds,0.985153567783242
2585,425,10617,LLL Lung Sounds,0.985153567783242
3,617,10617,Respiratory Pattern,0.985153567783242
1758,707,10616,Urine Source,0.9850607775818874
2299,31,10616,Activity,0.9850607775818874
1728,674,10616,Temp. Site,0.9850607775818874
2343,80,10615,Bowel Sounds,0.9849679873805326
1755,704,10615,Turn,0.9849679873805326
2634,479,10615,Orientation,0.9849679873805326
1699,644,10614,Skin Integrity,0.9848751971791779
3400,210,10613,HOB,0.9847824069778232
2417,159,10610,Ectopy Frequency,0.9845040363737589
2349,86,10609,Braden Nutrition,0.9844112461724042
