,itemid,num_patients
0,1,1091
1,2,270
2,3,274
3,4,273
4,5,273
5,6,7
6,24,75
7,25,1466
8,26,1161
9,27,22343
10,28,34
11,29,496
12,31,29027
13,32,22132
14,34,5
15,35,50
16,36,57
17,37,6
18,38,1834
19,39,12873
20,40,13227
21,41,133
22,43,3641
23,44,665
24,45,3586
25,46,647
26,47,3634
27,48,667
28,49,17803
29,50,9361
30,51,15251
31,52,15207
32,53,17
33,54,22169
34,55,782
35,56,4066
36,57,1313
37,58,3902
38,59,781
39,60,860
40,61,77
41,62,781
42,63,235
43,64,577
44,65,127
45,66,491
46,67,506
47,68,559
48,69,22901
49,70,7703
50,71,7703
51,72,17555
52,74,1347
53,75,435
54,76,3858
55,77,20965
56,78,122
57,79,495
58,80,26244
59,81,98
60,82,22187
61,83,22185
62,84,22188
63,85,22187
64,86,22186
65,87,22179
66,88,22185
67,89,3898
68,90,5832
69,91,58
70,92,538
71,93,1492
72,94,5879
73,95,5885
74,96,5863
75,97,5863
76,98,591
77,99,1623
78,100,1594
79,101,1609
80,102,1600
81,103,162
82,104,334
83,105,329
84,106,335
85,107,331
86,108,31
87,109,49
88,110,47
89,111,48
90,112,46
91,113,11075
92,114,9138
93,115,969
94,116,6032
95,118,2126
96,119,2121
97,121,3043
98,122,5810
99,123,4017
100,124,466
101,125,58
102,127,14149
103,128,21711
104,129,1947
105,130,4821
106,131,12675
107,132,5
108,133,150
109,134,1112
110,135,2555
111,136,3117
112,137,4984
113,138,2638
114,139,7259
115,140,1237
116,141,5821
117,142,476
118,143,159
119,146,480
120,147,473
121,148,543
122,149,554
123,150,250
124,151,525
125,152,536
126,153,770
127,154,19473
128,155,39
129,156,21917
130,157,12711
131,158,6424
132,159,22188
133,160,388
134,161,22416
135,162,397
136,163,1237
137,164,466
138,165,14387
139,166,14036
140,167,15065
141,168,14815
142,169,14938
143,170,14636
144,171,15154
145,172,13190
146,173,493
147,174,472
148,175,11
149,176,566
150,177,598
151,178,407
152,179,529
153,180,566
154,181,420
155,183,11484
156,184,22401
157,185,1818
158,186,2085
159,187,20056
160,188,292
161,189,1176
162,190,14248
163,191,3
164,192,498
165,193,770
166,194,1003
167,195,1008
168,196,1
169,197,8976
170,198,22394
171,199,1543
172,200,12112
173,201,1184
174,202,8496
175,203,12000
176,204,862
177,205,1148
178,207,2008
179,208,5010
180,209,171
181,210,22314
182,211,29998
183,212,22431
184,213,172
185,216,2299
186,217,143
187,218,13213
188,219,12367
189,221,10896
190,222,17
191,223,19
192,224,779
193,225,785
194,226,553
195,229,16995
196,230,14107
197,232,16828
198,235,12387
199,236,10477
200,238,12253
201,241,5807
202,242,4005
203,244,5685
204,247,2298
205,248,1562
206,250,2240
207,253,802
208,254,550
209,256,773
210,259,262
211,260,172
212,262,255
213,265,93
214,266,52
215,268,91
216,271,35
217,272,19
218,274,34
219,283,13954
220,284,10588
221,285,4065
222,286,1591
223,287,563
224,288,176
225,289,54
226,290,21
227,294,21756
228,297,18826
229,300,10053
230,303,3309
231,308,88
232,309,46
233,310,89
234,311,46
235,320,4069
236,321,1134
237,322,621
238,323,245
239,324,21626
240,325,18604
241,326,9038
242,327,3266
243,338,5300
244,339,2707
245,340,1326
246,341,618
247,342,270
248,343,77
249,344,7269
250,345,3659
251,346,1817
252,347,824
253,348,372
254,349,103
255,350,1426
256,351,85
257,352,5539
258,353,2885
259,354,677
260,355,302
261,356,7090
262,357,3559
263,358,1762
264,359,808
265,360,358
266,361,103
267,362,6043
268,363,3118
269,364,1563
270,365,722
271,366,317
272,367,91
273,368,2888
274,369,1437
275,370,665
276,371,314
277,372,135
278,373,39
279,374,7517
280,375,3764
281,376,1850
282,377,845
283,378,381
284,379,104
285,380,2505
286,381,1411
287,382,983
288,383,223
289,384,76
290,385,30
291,386,7590
292,387,3727
293,388,3198
294,389,876
295,390,221
296,391,66
297,392,9706
298,393,5964
299,394,4151
300,395,1055
301,396,242
302,397,67
303,398,9844
304,399,6059
305,400,4200
306,401,243
307,402,70
308,403,1070
309,404,574
310,405,167
311,406,57
312,407,45
313,408,14
314,409,9
315,410,6354
316,411,9863
317,412,6065
318,413,4199
319,414,1076
320,415,247
321,416,72
322,417,12751
323,419,1372
324,420,1
325,421,5474
326,422,5428
327,423,6924
328,424,2750
329,425,22367
330,426,6911
331,427,1396
332,428,22367
333,429,15
334,430,5469
335,431,5424
336,432,22405
337,434,13229
338,435,135
339,436,2837
340,437,120
341,438,7
342,439,4140
343,440,2342
344,441,512
345,442,605
346,443,570
347,444,13193
348,445,16
349,446,4806
350,447,339
351,448,11
352,449,1280
353,450,13252
354,453,62
355,454,22397
356,455,21843
357,456,21818
358,457,390
359,458,74
360,459,3122
361,460,434
362,461,527
363,462,512
364,463,565
365,464,599
366,465,3555
367,466,5089
368,467,23574
369,468,4194
370,469,6
371,470,19437
372,471,4029
373,472,3704
374,473,3680
375,474,62
376,477,17436
377,478,22373
378,479,22382
379,480,251
380,481,238
381,482,141
382,483,134
383,484,227
384,485,214
385,486,188
386,487,492
387,490,1194
388,491,2816
389,492,6250
390,493,1682
391,494,807
392,495,770
393,496,1699
394,497,1619
395,498,1693
396,499,1694
397,500,1568
398,501,61
399,502,50
400,503,136
401,504,3508
402,505,1838
403,506,13269
404,507,1202
405,508,589
406,509,318
407,510,30
408,511,9
409,512,2565
410,513,1494
411,515,4758
412,516,4807
413,517,4432
414,518,4541
415,519,4263
416,520,120
417,521,4252
418,522,15568
419,523,181
420,524,15223
421,525,21263
422,526,17108
423,527,18432
424,529,988
425,530,3702
426,531,5
427,532,1082
428,533,9
429,534,39
430,535,12769
431,536,3
432,537,166
433,538,130
434,539,164
435,541,2
436,542,147
437,543,12314
438,544,3
439,545,7248
440,546,192
441,547,21850
442,548,14118
443,549,21455
444,550,21557
445,551,2009
446,552,607
447,553,208
448,554,647
449,555,929
450,556,301
451,557,96
452,558,1643
453,559,507
454,560,180
455,561,1300
456,562,441
457,563,150
458,564,1743
459,565,528
460,566,173
461,567,2090
462,568,636
463,569,225
464,570,2054
465,571,621
466,572,216
467,573,1461
468,574,466
469,575,158
470,576,2115
471,577,230
472,578,12635
473,579,1706
474,580,14845
475,581,16519
476,582,17578
477,583,99
478,584,13309
479,585,13450
480,586,861
481,587,2
482,588,2147
483,589,2097
484,590,6930
485,591,3090
486,592,1584
487,593,22366
488,594,5897
489,595,7611
490,596,6916
491,597,969
492,598,1553
493,599,22366
494,600,11
495,601,2141
496,602,2092
497,603,968
