,itemid,num_patients
0,1,1091
1,2,270
2,3,274
3,4,273
4,5,273
5,6,7
6,24,75
7,25,1466
8,26,1161
9,27,22343
10,28,34
11,29,496
12,31,29027
13,32,22132
14,34,5
15,35,50
16,36,57
17,37,6
18,38,1834
19,39,12873
20,40,13227
21,41,133
22,43,3641
23,44,665
24,45,3586
25,46,647
26,47,3634
27,48,667
28,49,17803
29,50,9361
30,51,15251
31,52,15207
32,53,17
33,54,22169
34,55,782
35,56,4066
36,57,1313
37,58,3902
38,59,781
39,60,860
40,61,77
41,62,781
42,63,235
43,64,577
44,65,127
45,66,491
46,67,506
47,68,559
48,69,22901
49,70,7703
50,71,7703
51,72,17555
52,74,1347
53,75,435
54,76,3858
55,77,20965
56,78,122
57,79,495
58,80,26244
59,81,98
60,82,22187
61,83,22185
62,84,22188
63,85,22187
64,86,22186
65,87,22179
66,88,22185
67,89,3898
68,90,5832
69,91,58
70,92,538
71,93,1492
72,94,5879
73,95,5885
74,96,5863
75,97,5863
76,98,591
77,99,1623
78,100,1594
79,101,1609
80,102,1600
81,103,162
82,104,334
83,105,329
84,106,335
85,107,331
86,108,31
87,109,49
88,110,47
89,111,48
90,112,46
91,113,11075
92,114,9138
93,115,969
94,116,6032
95,118,2126
96,119,2121
97,121,3043
98,122,5810
99,123,4017
100,124,466
101,125,58
102,127,14149
103,128,21711
104,129,1947
105,130,4821
106,131,12675
107,132,5
108,133,150
109,134,1112
110,135,2555
111,136,3117
112,137,4984
113,138,2638
114,139,7259
115,140,1237
116,141,5821
117,142,476
118,143,159
119,146,480
120,147,473
121,148,543
122,149,554
123,150,250
124,151,525
125,152,536
126,153,770
127,154,19473
128,155,39
129,156,21917
130,157,12711
131,158,6424
132,159,22188
133,160,388
134,161,22416
135,162,397
136,163,1237
137,164,466
138,165,14387
139,166,14036
140,167,15065
141,168,14815
142,169,14938
143,170,14636
144,171,15154
145,172,13190
146,173,493
147,174,472
148,175,11
149,176,566
150,177,598
151,178,407
152,179,529
153,180,566
154,181,420
155,183,11484
156,184,22401
157,185,1818
158,186,2085
159,187,20056
160,188,292
161,189,1176
162,190,14248
163,191,3
164,192,498
165,193,770
166,194,1003
167,195,1008
168,196,1
169,197,8976
170,198,22394
171,199,1543
172,200,12112
173,201,1184
174,202,8496
175,203,12000
176,204,862
177,205,1148
178,207,2008
179,208,5010
180,209,171
